beatid;melid;chord;Root_pitch;chord_info;chord_map;triad;added_note
2048;5;Db7;C#;7;7;M;m7
2050;5;Eb6;D#;6;6;M;6
2054;5;G-7;G;-7;-7;-;m7
2056;5;C7;C;7;7;M;m7
2058;5;F-7;F;-7;-7;-;m7
2062;5;F-7;F;-7;-7;-;m7
2066;5;Ab-7;G#;-7;-7;-;m7
2070;5;Db7;C#;7;7;M;m7
2074;5;Ebj7;D#;j7;j7;M;j7
2076;5;C-7;C;-7;-7;-;m7
2078;5;G-7;G;-7;-7;-;m7
2080;5;C7;C;7;7;M;m7
2082;5;F-7;F;-7;-7;-;m7
2086;5;Bb7;A#;7;7;M;m7
2090;5;Ebj7;D#;j7;j7;M;j7
2094;5;Bb-7;A#;-7;-7;-;m7
2096;5;Eb7;D#;7;7;M;m7
2098;5;Ab6;G#;6;6;M;6
2102;5;Ab6;G#;6;6;M;6
2104;6;Eb7;D#;7;7;M;m7
2106;6;Ab6;G#;6;6;M;6
2110;6;Ab6;G#;6;6;M;6
2114;6;Ab-6;G#;-6;-6;-;6
2118;6;Db7;C#;7;7;M;m7
2122;6;Ebj7;D#;j7;j7;M;j7
2126;6;G-7;G;-7;-7;-;m7
2128;6;C7;C;7;7;M;m7
2130;6;F-7;F;-7;-7;-;m7
2134;6;F-7;F;-7;-7;-;m7
2138;6;Ab-7;G#;-7;-7;-;m7
2142;6;Db7;C#;7;7;M;m7
2146;6;Eb;D#;;;M;none
2148;6;C-7;C;-7;-7;-;m7
2150;6;G-7;G;-7;-7;-;m7
2152;6;C7;C;7;7;M;m7
2154;6;F-7;F;-7;-7;-;m7
2158;6;Bb7;A#;7;7;M;m7
2162;6;Eb7;D#;7;7;M;m7
2166;6;Ab7;G#;7;7;M;m7
2170;6;Eb7;D#;7;7;M;m7
2174;6;Ab7;G#;7;7;M;m7
2178;6;Eb7;D#;7;7;M;m7
2182;6;Ab7;G#;7;7;M;m7
2186;6;Eb7;D#;7;7;M;m7
2190;6;Ab7;G#;7;7;M;m7
2194;6;Eb7;D#;7;7;M;m7
2198;6;Ab7;G#;7;7;M;m7
2202;6;Eb7;D#;7;7;M;m7
2206;6;Ab7;G#;7;7;M;m7
2210;6;Eb7;D#;7;7;M;m7
2214;6;Ab7;G#;7;7;M;m7
2218;6;Eb7;D#;7;7;M;m7
2222;6;Ab7;G#;7;7;M;m7
